iter	Passed	Remaining
0	2	2885
1	4	2481
2	7	2448
3	11	2819
4	14	2846
5	16	2732
6	18	2630
7	20	2543
8	23	2588
9	26	2652
10	51	4634
11	61	5052
12	74	5636
13	76	5384
14	78	5163
15	81	4985
16	89	5199
17	92	5046
18	98	5061
19	100	4924
20	104	4858
21	107	4774
22	109	4649
23	116	4744
24	118	4629
25	122	4571
26	123	4468
27	127	4418
28	129	4330
29	131	4248
30	134	4214
31	136	4140
32	138	4062
33	146	4167
34	148	4093
35	150	4034
36	153	3988
37	156	3965
38	159	3928
39	161	3877
40	163	3831
41	170	3899
42	180	4025
43	184	4014
44	188	4008
45	191	3972
46	193	3914
47	194	3857
48	196	3806
49	199	3796
50	204	3805
51	206	3759
52	207	3716
53	209	3671
54	211	3642
55	218	3679
56	220	3641
57	221	3603
58	223	3566
59	228	3580
60	232	3575
61	234	3552
62	236	3520
63	238	3486
64	239	3449
65	241	3423
66	246	3434
67	248	3406
68	251	3388
69	252	3357
70	254	3328
71	263	3391
72	266	3377
73	268	3355
74	269	3328
75	273	3325
76	278	3334
77	281	3323
78	282	3297
79	284	3272
80	288	3276
81	293	3284
82	296	3275
83	300	3276
84	305	3285
85	308	3279
86	311	3270
87	314	3254
88	315	3233
89	317	3209
90	326	3259
91	328	3245
92	332	3238
93	334	3220
94	336	3202
95	338	3191
96	340	3173
97	342	3156
98	345	3143
99	348	3132
100	350	3116
101	351	3097
102	353	3077
103	356	3067
104	363	3094
105	365	3084
106	367	3068
107	376	3106
108	378	3094
109	381	3086
110	388	3113
111	391	3100
112	392	3084
113	395	3073
114	397	3058
115	405	3093
116	407	3074
117	409	3060
118	412	3051
119	418	3066
120	420	3053
121	421	3035
122	424	3023
123	430	3044
124	434	3040
125	436	3027
126	437	3010
127	443	3022
128	445	3010
129	448	3002
130	450	2989
131	452	2975
132	457	2979
133	460	2974
134	463	2967
135	465	2957
136	467	2946
137	474	2960
138	476	2949
139	479	2944
140	481	2932
141	482	2915
142	487	2921
143	497	2956
144	503	2969
145	505	2958
146	509	2957
147	513	2955
148	518	2961
149	520	2950
150	522	2938
151	525	2931
152	528	2925
153	531	2920
154	533	2909
155	535	2899
156	537	2887
157	540	2881
158	546	2889
159	549	2887
160	551	2876
161	554	2869
162	560	2880
163	567	2892
164	569	2881
165	578	2906
166	581	2900
167	583	2890
168	585	2881
169	591	2886
170	594	2882
171	598	2882
172	606	2899
173	608	2890
174	613	2891
175	615	2881
176	619	2881
177	622	2874
178	626	2872
179	627	2860
180	631	2857
181	634	2853
182	636	2841
183	638	2830
184	641	2824
185	652	2857
186	657	2857
187	661	2857
188	665	2855
189	667	2844
190	668	2832
191	670	2821
192	672	2810
193	678	2817
194	681	2813
195	683	2803
196	685	2792
197	687	2786
198	689	2775
199	694	2776
200	695	2766
201	697	2756
202	700	2748
203	705	2754
204	710	2754
205	711	2743
206	713	2733
207	715	2723
208	721	2731
209	724	2726
210	726	2716
211	728	2706
212	732	2707
213	734	2699
214	736	2689
215	739	2682
216	740	2673
217	742	2663
218	748	2668
219	749	2659
220	751	2649
221	755	2646
222	756	2637
223	762	2642
224	764	2632
225	765	2623
226	771	2625
227	777	2632
228	779	2624
229	781	2617
230	786	2619
231	793	2626
232	795	2618
233	797	2610
234	799	2602
235	807	2613
236	809	2606
237	811	2598
238	813	2590
239	819	2594
240	825	2598
241	827	2592
242	830	2586
243	834	2584
244	839	2586
245	841	2579
246	844	2574
247	850	2579
248	852	2571
249	855	2566
250	857	2558
251	860	2552
252	866	2558
253	871	2558
254	873	2551
255	875	2544
256	877	2537
257	884	2544
258	886	2536
259	890	2535
260	892	2528
261	898	2531
262	901	2527
263	905	2523
264	907	2517
265	914	2524
266	917	2517
267	921	2515
268	925	2513
269	928	2511
270	930	2503
271	933	2498
272	937	2495
273	945	2504
274	947	2497
275	949	2490
276	951	2482
277	954	2478
278	957	2473
279	959	2467
280	961	2459
281	963	2451
282	964	2443
283	968	2442
284	970	2434
285	972	2426
286	974	2421
287	976	2414
288	978	2406
289	979	2398
290	983	2397
291	985	2389
292	987	2381
293	989	2376
294	991	2369
295	993	2362
296	997	2360
297	999	2354
298	1001	2347
299	1003	2341
300	1005	2335
301	1007	2329
302	1013	2330
303	1014	2323
304	1016	2315
305	1017	2308
306	1019	2301
307	1021	2295
308	1023	2287
309	1027	2287
310	1029	2280
311	1030	2272
312	1031	2265
313	1033	2257
314	1035	2251
315	1038	2247
316	1040	2242
317	1043	2237
318	1044	2229
319	1045	2222
320	1047	2215
321	1048	2208
322	1050	2201
323	1054	2200
324	1058	2197
325	1060	2193
326	1062	2186
327	1064	2180
328	1068	2179
329	1070	2173
330	1073	2168
331	1074	2162
332	1076	2156
333	1078	2150
334	1083	2150
335	1085	2144
336	1089	2143
337	1093	2141
338	1095	2136
339	1098	2132
340	1105	2137
341	1108	2133
342	1154	2212
343	1158	2209
344	1200	2279
345	1204	2276
346	1206	2270
347	1211	2269
348	1213	2263
349	1216	2260
350	1220	2257
351	1223	2251
352	1228	2250
353	1230	2245
354	1232	2239
355	1235	2234
356	1237	2228
357	1284	2302
358	1286	2296
359	1331	2366
360	1384	2451
361	1386	2444
362	1389	2437
363	1391	2431
364	1395	2427
365	1398	2422
366	1400	2415
367	1402	2408
368	1404	2401
369	1410	2401
370	1414	2398
371	1417	2393
372	1420	2387
373	1422	2380
374	1426	2378
375	1428	2371
376	1431	2365
377	1433	2359
378	1435	2352
379	1444	2356
380	1446	2349
381	1448	2343
382	1450	2336
383	1458	2340
384	1461	2333
385	1471	2341
386	1473	2334
387	1476	2328
388	1480	2325
389	1485	2323
390	1488	2318
391	1491	2312
392	1493	2307
393	1505	2315
394	1507	2309
395	1510	2303
396	1512	2296
397	1537	2325
398	1539	2319
399	1542	2313
400	1546	2310
401	1548	2304
402	1551	2298
403	1553	2291
404	1558	2290
405	1561	2283
406	1563	2277
407	1565	2271
408	1567	2265
409	1569	2258
410	1582	2267
411	1584	2261
412	1597	2271
413	1601	2266
414	1603	2260
415	1607	2256
416	1611	2253
417	1617	2251
418	1619	2245
419	1621	2239
420	1627	2237
421	1648	2257
422	1651	2252
423	1657	2252
424	1660	2246
425	1662	2240
426	1665	2234
427	1667	2227
428	1672	2226
429	1674	2220
430	1677	2214
431	1680	2208
432	1682	2202
433	1689	2203
434	1695	2201
435	1697	2195
436	1703	2194
437	1706	2189
438	1708	2182
439	1710	2177
440	1712	2171
441	1718	2169
442	1721	2164
443	1723	2158
444	1726	2152
445	1730	2149
446	1735	2146
447	1737	2141
448	1740	2135
449	1742	2129
450	1749	2130
451	1752	2124
452	1754	2118
453	1759	2115
454	1762	2111
455	1765	2105
456	1767	2099
457	1769	2093
458	1772	2089
459	1774	2082
460	1775	2076
461	1777	2069
462	1780	2064
